name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Mice de Swiss,6963108,2807108,400479,75536,3354577,1244580,968416,169387,https://cheese.formice.com/transformice/tribe/401504
eu sou alcoolatra,2023644,950353,401678,18231,2113921,1347932,343747,95127,https://cheese.formice.com/transformice/tribe/1042173
Permanently Ban,108,17158,3,0,10,0,0,1,https://cheese.formice.com/transformice/tribe/704483
1000 years later,15541245,5281810,258073,95636,3712577,1061702,989096,145665,https://cheese.formice.com/transformice/tribe/1124285
Undead'',10800780,4030814,791153,254706,3495008,1248637,727427,178849,https://cheese.formice.com/transformice/tribe/434123
Anesthetic,7481294,3330413,80939,35075,3036477,527562,1526577,61321,https://cheese.formice.com/transformice/tribe/1000042
Night For Love,18493852,5682797,408776,118223,4153231,1032241,667277,171841,https://cheese.formice.com/transformice/tribe/1020257
[LLNN],5441093,2207037,652682,57971,3028483,1820439,286872,138976,https://cheese.formice.com/transformice/tribe/322125
Asocial unity,3905181,1734022,426445,29544,2671881,1059339,807236,122265,https://cheese.formice.com/transformice/tribe/1015779
Corrosive,3715809,1660390,433816,36317,2610042,840620,929359,147863,https://cheese.formice.com/transformice/tribe/800133
The Furry Revolution,3376611,1631611,424240,41536,2424310,1372041,153330,96353,https://cheese.formice.com/transformice/tribe/33681
Liga dos Deuses,20678130,6100940,503275,126629,3979262,1195555,395615,190695,https://cheese.formice.com/transformice/tribe/460133
Bootcamp Paradox,11362775,3925813,892838,1575462,3612563,1218644,1258853,183261,https://cheese.formice.com/transformice/tribe/1004754
We're bad at this,3068688,1558254,292453,31149,2316942,885658,509435,106243,https://cheese.formice.com/transformice/tribe/885088
above heaven,3681178,1765540,481691,32267,2445874,951491,856421,119884,https://cheese.formice.com/transformice/tribe/1120212
Les Populaires,8232773,3050422,422990,48358,3370093,1236651,229142,124015,https://cheese.formice.com/transformice/tribe/12530
Walang Titulo,5577557,2336797,476702,72426,2897951,1143931,1003483,160942,https://cheese.formice.com/transformice/tribe/622738
Psycho Paradise,3970128,1719061,443611,24212,2603274,1293281,110840,112860,https://cheese.formice.com/transformice/tribe/20141
Kalash,1538626,758374,324886,53074,1779692,929910,430618,82894,https://cheese.formice.com/transformice/tribe/422863
i am speed,17458347,5615051,1737467,236312,2838589,1184072,711798,151180,https://cheese.formice.com/transformice/tribe/1132706
Eita Preula,5023879,2030396,508830,21144,2792582,1194709,120692,115673,https://cheese.formice.com/transformice/tribe/32956
a g t,14589056,4701493,901881,165285,3464635,1166521,946375,204469,https://cheese.formice.com/transformice/tribe/1134800
Academy of Building,5144066,2202402,272351,101398,2676427,753466,1048768,93395,https://cheese.formice.com/transformice/tribe/1077275
pocas,9646389,3408562,1084429,135739,3179352,1256591,1140315,171927,https://cheese.formice.com/transformice/tribe/1132230
Sabertooth nTC,19025750,5790206,400119,112820,3043796,837637,795684,142516,https://cheese.formice.com/transformice/tribe/1069359
karinafabita,10880625,3683538,546309,106971,3356372,1139971,898702,195179,https://cheese.formice.com/transformice/tribe/280968
Forgotten In Paradis,13698782,4556235,164822,24346,3236723,772388,316424,101022,https://cheese.formice.com/transformice/tribe/366262
Room 7,4512421,1977909,417746,45307,2491545,789007,412583,129569,https://cheese.formice.com/transformice/tribe/908
mmm,3585764,1675346,305547,47484,2277193,719608,359053,96262,https://cheese.formice.com/transformice/tribe/14184
15 to Life,5012120,2113154,268589,14891,2598193,765314,30699,87258,https://cheese.formice.com/transformice/tribe/10616
pivot,3066401,1335151,230898,31832,2226662,965634,925802,91593,https://cheese.formice.com/transformice/tribe/1126238
K r i p p y,9324792,3256402,660479,100129,3096442,1143748,995985,185807,https://cheese.formice.com/transformice/tribe/1049756
Unravel,3493291,1807266,220158,94276,2082825,786449,588160,89288,https://cheese.formice.com/transformice/tribe/705738
Pizza Corp,3625646,1531514,327978,28017,2325440,1414902,260978,102312,https://cheese.formice.com/transformice/tribe/153831
Fa Cute,2792094,1478598,165598,27929,1948088,661429,364553,79161,https://cheese.formice.com/transformice/tribe/258086
