name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Guerreros Z de transformice,6226446,1763803,74670,14611,1099914,286319,63769,46781,https://cheese.formice.com/transformice/tribe/831190
gloryz boyz,889799,397787,194951,6218,647862,343798,189610,30767,https://cheese.formice.com/transformice/tribe/1133296
Rebenga,1941569,697626,174070,42076,908718,430546,227429,43113,https://cheese.formice.com/transformice/tribe/1078296
DOBLO KARIMDAN DAHA GUZEL,2418605,847777,167609,9396,1061559,310437,248781,49458,https://cheese.formice.com/transformice/tribe/1066353
Strength Enabled,191137,91699,42619,1798,348872,256192,31560,18328,https://cheese.formice.com/transformice/tribe/939576
Tribe,1233246,537912,94744,1377,742867,157456,97750,28163,https://cheese.formice.com/transformice/tribe/231
21-10-18 s2,799340,358359,134548,3916,635275,341170,190198,35915,https://cheese.formice.com/transformice/tribe/1110719
Fifth Room,1258985,561403,89372,7230,736332,147621,3521,24269,https://cheese.formice.com/transformice/tribe/861
Medellin Sdvsf,2942721,1038843,232844,52365,941699,487700,109018,47416,https://cheese.formice.com/transformice/tribe/811450
Cookies Paradise,2644437,933980,123671,35867,963197,460251,101109,45803,https://cheese.formice.com/transformice/tribe/573416
Chanels,3698069,1226076,132420,45627,1006500,250377,285729,47119,https://cheese.formice.com/transformice/tribe/970080
northface,186995,84181,42151,11562,345488,213181,105229,19869,https://cheese.formice.com/transformice/tribe/1140156
Hotel Jequitimar,2651862,880293,149708,29943,1008912,401111,206567,43230,https://cheese.formice.com/transformice/tribe/940747
peace keeping forces,2123725,904102,20161,13593,795927,186080,307260,18771,https://cheese.formice.com/transformice/tribe/959465
Goner',2807530,954092,286649,44907,960747,381891,227294,53754,https://cheese.formice.com/transformice/tribe/935195
simplicity is the key to happiness,2338263,852829,164394,11938,955165,411309,211864,55722,https://cheese.formice.com/transformice/tribe/1140462
deportivo la coruna,2592082,820621,171879,10817,1031024,432030,302508,46211,https://cheese.formice.com/transformice/tribe/1124608
mad god,303365,147071,42835,2978,427913,164959,217521,14743,https://cheese.formice.com/transformice/tribe/1116106
Mycity Br,4694063,1532351,106857,28482,911647,248409,171667,46425,https://cheese.formice.com/transformice/tribe/1123533
Weed,713283,365596,110425,10227,582467,306133,122594,31155,https://cheese.formice.com/transformice/tribe/23907
Gingers,786305,333767,102273,2972,641389,374624,67098,28570,https://cheese.formice.com/transformice/tribe/641879
K L Z SURVIVOR,4832050,1704857,164684,27426,794697,303477,241918,39701,https://cheese.formice.com/transformice/tribe/1137751
b a d g u y,114010,71814,41194,13943,265277,122791,100392,11777,https://cheese.formice.com/transformice/tribe/1128471
The Maushaus,1300515,562441,81061,4673,746720,314520,91853,31746,https://cheese.formice.com/transformice/tribe/515675
K y W,5060425,1619349,283915,54440,844230,265256,112058,46458,https://cheese.formice.com/transformice/tribe/779003
Ruske Oltskyl,863160,445558,108324,5826,610044,375113,39031,25629,https://cheese.formice.com/transformice/tribe/1075171
